Timestamp;TimeFormatted;UUID/Namespace;Major/Instance;Minor;TX;RSSI;Distance
1494830556720;2017-05-15 13:42:36;cb10023f-a318-3394-4199-a8730c7c1aec;2;18201;-69;-93;3.9403640805843363
1494830557918;2017-05-15 13:42:37;cb10023f-a318-3394-4199-a8730c7c1aec;1;18201;-69;-89;3.061907234204794
1494830557919;2017-05-15 13:42:37;cb10023f-a318-3394-4199-a8730c7c1aec;3;18201;-69;-92;3.243835491516548
1494830557919;2017-05-15 13:42:37;cb10023f-a318-3394-4199-a8730c7c1aec;1;18202;-69;-91;3.518110194335377
1494830559123;2017-05-15 13:42:39;cb10023f-a318-3394-4199-a8730c7c1aec;1;18201;-69;-90;3.0726734120756323
1494830559125;2017-05-15 13:42:39;cb10023f-a318-3394-4199-a8730c7c1aec;3;18201;-69;-91;3.27164434256116
1494830559125;2017-05-15 13:42:39;cb10023f-a318-3394-4199-a8730c7c1aec;2;18202;-69;-97;5.036518817354796
1494830559125;2017-05-15 13:42:39;cb10023f-a318-3394-4199-a8730c7c1aec;2;18201;-69;-96;4.044032224060912
1494830560382;2017-05-15 13:42:40;cb10023f-a318-3394-4199-a8730c7c1aec;1;18201;-69;-89;3.061907234204794
1494830560382;2017-05-15 13:42:40;cb10023f-a318-3394-4199-a8730c7c1aec;1;18202;-69;-92;3.549491171685381
1494830560383;2017-05-15 13:42:40;cb10023f-a318-3394-4199-a8730c7c1aec;2;18201;-69;-93;4.044032224060912
1494830561500;2017-05-15 13:42:41;cb10023f-a318-3394-4199-a8730c7c1aec;1;18201;-69;-91;3.0820360278026575
1494830561500;2017-05-15 13:42:41;cb10023f-a318-3394-4199-a8730c7c1aec;1;18202;-69;-91;3.5320224202143216
1494830561500;2017-05-15 13:42:41;cb10023f-a318-3394-4199-a8730c7c1aec;2;18201;-69;-98;4.068815220959909
1494830562742;2017-05-15 13:42:42;cb10023f-a318-3394-4199-a8730c7c1aec;1;18201;-69;-90;3.100850527702386
1494830562743;2017-05-15 13:42:42;cb10023f-a318-3394-4199-a8730c7c1aec;3;18201;-69;-90;3.2756370250180247
1494830562743;2017-05-15 13:42:42;cb10023f-a318-3394-4199-a8730c7c1aec;1;18202;-69;-90;3.5146408324930265
1494830563864;2017-05-15 13:42:43;cb10023f-a318-3394-4199-a8730c7c1aec;1;18201;-69;-88;3.068936672630403
1494830563865;2017-05-15 13:42:43;cb10023f-a318-3394-4199-a8730c7c1aec;3;18201;-69;-95;3.320901366848042
1494830563865;2017-05-15 13:42:43;cb10023f-a318-3394-4199-a8730c7c1aec;1;18202;-69;-92;3.5031013527870725
1494830565063;2017-05-15 13:42:45;cb10023f-a318-3394-4199-a8730c7c1aec;1;18201;-69;-90;3.0820360278026575
1494830565064;2017-05-15 13:42:45;cb10023f-a318-3394-4199-a8730c7c1aec;3;18201;-69;-92;3.366807661936096
1494830565064;2017-05-15 13:42:45;cb10023f-a318-3394-4199-a8730c7c1aec;1;18202;-69;-93;3.476461410090973
1494830566267;2017-05-15 13:42:46;cb10023f-a318-3394-4199-a8730c7c1aec;1;18201;-69;-90;3.0726734120756323
1494830566267;2017-05-15 13:42:46;cb10023f-a318-3394-4199-a8730c7c1aec;3;18201;-69;-95;3.4121615512781167
1494830566268;2017-05-15 13:42:46;cb10023f-a318-3394-4199-a8730c7c1aec;1;18202;-69;-88;3.4133634659124708
1494830566268;2017-05-15 13:42:46;cb10023f-a318-3394-4199-a8730c7c1aec;2;18201;-69;-92;4.068815220959909
1494830567451;2017-05-15 13:42:47;cb10023f-a318-3394-4199-a8730c7c1aec;1;18202;-69;-89;3.366807661936096
1494830568691;2017-05-15 13:42:48;cb10023f-a318-3394-4199-a8730c7c1aec;1;18201;-69;-90;3.0726734120756323
1494830568692;2017-05-15 13:42:48;cb10023f-a318-3394-4199-a8730c7c1aec;1;18202;-69;-89;3.320901366848042
1494830568692;2017-05-15 13:42:48;cb10023f-a318-3394-4199-a8730c7c1aec;2;18201;-69;-90;4.044032224060912
1494830569815;2017-05-15 13:42:49;cb10023f-a318-3394-4199-a8730c7c1aec;1;18201;-69;-94;3.100850527702386
1494830569815;2017-05-15 13:42:49;cb10023f-a318-3394-4199-a8730c7c1aec;3;18201;-69;-98;3.5407458778029293
1494830570998;2017-05-15 13:42:50;cb10023f-a318-3394-4199-a8730c7c1aec;1;18202;-69;-90;3.3057422958528218
1494830570999;2017-05-15 13:42:50;cb10023f-a318-3394-4199-a8730c7c1aec;2;18201;-69;-93;4.025543173882487
1494830572153;2017-05-15 13:42:52;cb10023f-a318-3394-4199-a8730c7c1aec;1;18201;-69;-91;3.13167934533843
1494830572153;2017-05-15 13:42:52;cb10023f-a318-3394-4199-a8730c7c1aec;3;18201;-69;-94;3.656154548914359
1494830572154;2017-05-15 13:42:52;cb10023f-a318-3394-4199-a8730c7c1aec;2;18201;-69;-92;3.8984490417185125
1494830574553;2017-05-15 13:42:54;cb10023f-a318-3394-4199-a8730c7c1aec;1;18201;-69;-89;3.1227081578582254
1494830574553;2017-05-15 13:42:54;cb10023f-a318-3394-4199-a8730c7c1aec;3;18201;-69;-96;3.799658590109856
1494830574554;2017-05-15 13:42:54;cb10023f-a318-3394-4199-a8730c7c1aec;2;18202;-69;-91;3.4290277186438685
1494830574554;2017-05-15 13:42:54;cb10023f-a318-3394-4199-a8730c7c1aec;2;18201;-69;-88;3.745193540538856
1494830575741;2017-05-15 13:42:55;cb10023f-a318-3394-4199-a8730c7c1aec;1;18201;-69;-91;3.1535780809314042
1494830575741;2017-05-15 13:42:55;cb10023f-a318-3394-4199-a8730c7c1aec;3;18201;-69;-95;3.8735135776173735
1494830575742;2017-05-15 13:42:55;cb10023f-a318-3394-4199-a8730c7c1aec;1;18202;-69;-94;3.292022984009602
1494830575742;2017-05-15 13:42:55;cb10023f-a318-3394-4199-a8730c7c1aec;2;18201;-69;-91;3.656154548914359
1494830576900;2017-05-15 13:42:56;cb10023f-a318-3394-4199-a8730c7c1aec;1;18201;-69;-92;3.2310071511098375
1494830576901;2017-05-15 13:42:56;cb10023f-a318-3394-4199-a8730c7c1aec;2;18201;-69;-94;3.7351936636579746
1494830579264;2017-05-15 13:42:59;cb10023f-a318-3394-4199-a8730c7c1aec;1;18201;-69;-92;3.280250195862112
1494830579265;2017-05-15 13:42:59;cb10023f-a318-3394-4199-a8730c7c1aec;3;18201;-69;-95;4.292162867685625
1494830579265;2017-05-15 13:42:59;cb10023f-a318-3394-4199-a8730c7c1aec;1;18202;-69;-89;3.235038390189029
1494830580492;2017-05-15 13:43:00;cb10023f-a318-3394-4199-a8730c7c1aec;1;18201;-69;-91;3.312729944711749
1494830580492;2017-05-15 13:43:00;cb10023f-a318-3394-4199-a8730c7c1aec;1;18202;-69;-92;3.235038390189029
1494830580492;2017-05-15 13:43:00;cb10023f-a318-3394-4199-a8730c7c1aec;2;18201;-69;-93;3.685595130563816
1494830582826;2017-05-15 13:43:02;cb10023f-a318-3394-4199-a8730c7c1aec;1;18201;-69;-95;3.369610660174555
1494830582827;2017-05-15 13:43:02;cb10023f-a318-3394-4199-a8730c7c1aec;3;18201;-69;-94;4.33825875222148
1494830582827;2017-05-15 13:43:02;cb10023f-a318-3394-4199-a8730c7c1aec;1;18202;-69;-91;3.2369214101187858
1494830582827;2017-05-15 13:43:02;cb10023f-a318-3394-4199-a8730c7c1aec;2;18201;-69;-91;3.597982646660042
1494830584031;2017-05-15 13:43:04;cb10023f-a318-3394-4199-a8730c7c1aec;1;18201;-69;-92;3.4290277186438685
